time,order_id,user_id,user_virtual,ticker,side,offset,price,quantity,status,error,duration
2022-05-12 14:25:05 758:548:593,22,0,0,ag2206.SHFE,BUY,CLOSE_TODAY,4717,1,ALL_TRADED,NONE,1652336705717800209
2022-05-12 14:25:06 244:429:849,23,0,0,ag2212.SHFE,SELL,OPEN,0,0,INIT,NONE,1652336706244429841
2022-05-12 14:25:06 248:125:594,23,0,0,ag2212.SHFE,SELL,OPEN,0,0,NO_TRADE_QUEUEING,NONE,1652336706248125586
2022-05-12 14:32:46 557:373:815,23,0,0,ag2212.SHFE,SELL,OPEN,0,0,NONE,NONE,1652337166557373807
2022-05-12 14:32:46 557:408:082,23,0,0,ag2212.SHFE,SELL,OPEN,4761,1,ALL_TRADED,NONE,1652337166557408074
2022-05-12 14:32:46 557:531:929,24,0,0,ag2206.SHFE,BUY,OPEN,0,0,INIT,NONE,1652337166516783545
2022-05-12 14:32:46 557:984:416,24,0,0,ag2206.SHFE,BUY,OPEN,0,0,CANCELED,NONE,1652337166517236032
2022-05-12 14:32:46 558:053:173,25,0,0,ag2206.SHFE,BUY,OPEN,0,0,INIT,NONE,1652337166517304789
2022-05-12 14:32:46 558:517:685,25,0,0,ag2206.SHFE,BUY,OPEN,0,0,NONE,NONE,1652337166517769301
2022-05-12 14:32:46 558:523:641,25,0,0,ag2206.SHFE,BUY,OPEN,4718,1,ALL_TRADED,NONE,1652337166517775257
2022-05-12 14:32:46 558:638:186,26,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,INIT,NONE,1652337166558638176
2022-05-12 14:32:46 559:061:344,26,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,NO_TRADE_QUEUEING,NONE,1652337166559061334
time,order_id,user_id,user_virtual,ticker,side,offset,price,quantity,status,error,duration
