交割月份,前结算,今开盘,最高价,最低价,收盘价,结算参考价,涨跌1,涨跌2,成交手,成交额,持仓手/变化,,
2205,3512,3434,3530,3416, , , , ,11692,40495.95,57958,-220,
2206,3542,3450,3580,3432, , , , ,499538,1738628.59,481661,-1618,
2207,3552,3460,3554,3438, , , , ,32588,113645.4,52369,2844,
2208,3584,3370,3574,3370, , , , ,2018,7001.51,475,249,
2209,3576,3478,3550,3436, , , , ,7368,25702.88,26076,-1356,
2212,3570,3446,3554,3420, , , , ,13327,46125.15,39214,2926,
2303,3530,3442,3514,3412, , , , ,5031,17504.97,9204,-5013,
2306,3548,3442,3512,3418, , , , ,2848,9928.32,12398,-2266,
2309,3492,3420,3500,3420, , , , ,2514,8697.04,7992,-2503,
2312,3486,3432,3476,3410, , , , ,2512,8677.52,6373,-2498,
小计, , , , , , , , ,585592,2037571.74,711576 / -12507,,
交割月份,前结算,今开盘,最高价,最低价,收盘价,结算参考价,涨跌1,涨跌2,成交手,成交额,持仓手/变化,,
商品名称:天然橡胶,,,,,,,,,,,,,
2203,13860,13695,13700,13600, , , , ,230,3140.68,1473,-45,
2204,13975,13825,13835,13745, , , , ,768,10607.63,1197,-402,
2205,14055,13955,13970,13815, , , , ,147967,2055776.67,260113,4433,
2206,14135,13980,14030,13890, , , , ,12466,173975.89,13005,-519,
2207,14190,14050,14105,13960, , , , ,4911,68877.33,11676,-634,
2208,14250,14115,14170,14030, , , , ,5755,81081.93,11019,-981,
2209,14290,14175,14215,14075, , , , ,37455,529557.22,67084,1473,
2210,14270,14285,14285,14150, , , , ,695,9915.52,2187,-509,
2211,14355,14280,14280,14205, , , , ,640,9138.45,1954,-367,
2301,15270,15300,15300,15155, , , , ,842,12851.15,3464,-328,
小计, , , , , , , , ,211729,2954922.44,373172 / 2121,,
交割月份,前结算,今开盘,最高价,最低价,收盘价,结算参考价,涨跌1,涨跌2,成交手,成交额,持仓手/变化,,
商品名称:20号胶,,,,,,,,,,,,,
2203,11685,11640,11640,11460, , , , ,47,545.09,959,-26,
2204,11800,11735,11750,11570, , , , ,2934,34162.43,7761,-638,
2205,11900,11815,11835,11665, , , , ,28190,330349.73,45210,1133,
2206,11965,11875,11905,11745, , , , ,9794,115467.29,18733,301,
2207,12035,11905,11905,11795, , , , ,1189,14068.16,1658,103,
2208,12100,11900,11905,11850, , , , ,360,4275.41,221,27,
2209,12025, , , , , , , ,0,0,0,0,
2210,12095, , , , , , , ,0,0,0,0,
2211,11765, , , , , , , ,0,0,1,0,
2212,11610, , , , , , , ,0,0,3,0,
2301,11880,12295,12390,12205, , , , ,15,184.08,13,2,
